caption,verbs,nouns,adjectives,sub
"A child licks, savors an ice cream cone on a hot day..","{licks, savors}","{child, ice cream, cone, day}",{hot},{child}
"A man threads, loops a needle with colorful embroidery floss..","{threads, loops}","{man, needle, floss}","{colorful, embroidery}",{man}
"A woman sculpts, molds wet clay on a pottery wheel..","{sculpts, molds}","{woman, clay, wheel}","{wet, pottery}",{woman}
"A child swings, propels on a rope swing over a lake..","{swings, propels}","{child, swing, lake}",{rope},{child}
"A man flips, tosses pancakes in a hot skillet..","{flips, tosses}","{man, pancakes, skillet}",{hot},{man}
"A woman hangs, suspends colorful ornaments on a Christmas tree..","{hangs, suspends}","{woman, ornaments, tree}","{colorful, Christmas}",{woman}
"A child slides, glides down a playground slide..","{slides, glides}","{child, slide}",{playground},{child}
"A man inflates, pumps air into a flat bicycle tire..","{inflates, pumps}","{man, air, tire}","{flat, bicycle}",{man}
"A woman peels, strips bark from a fallen tree branch..","{peels, strips}","{woman, bark, branch}","{fallen, tree}",{woman}
"A child blows, exhales to make a dandelion's seeds float away..","{blows, exhales}","{child, seeds}",{dandelion's},{child}
"A man shuffles, deals playing cards to a group of people..","{shuffles, deals}","{man, cards, group}",{playing},{man}
"A woman hangs, drapes wet laundry on a clothesline to dry..","{hangs, drapes}","{woman, laundry, clothesline}",{wet},{woman}
"A child rolls, tumbles down a grassy hill..","{rolls, tumbles}","{child, hill}",{grassy},{child}
"A man trims, prunes overgrown hedges in a garden..","{trims, prunes}","{man, hedges, garden}",{overgrown},{man}
"A woman grates, shreds cheese over a bowl of pasta..","{grates, shreds}","{woman, cheese, bowl, pasta}",{},{woman}
"A child splashes, paddles in a shallow pool of water..","{splashes, paddles}","{child, pool}",{shallow},{child}
"A man shovels, scoops snow from a driveway after a storm..","{shovels, scoops}","{man, snow, driveway, storm}",{},{man}
"A woman bandages, wraps an injured ankle with care..","{bandages, wraps}","{woman, ankle}",{injured},{woman}
"A child blows, puffs out candles on a birthday cake..","{blows, puffs out}","{child, candles, cake}",{birthday},{child}
"A man saws, cuts a plank of wood with a handsaw..","{saws, cuts}","{man, plank, handsaw}",{wood},{man}
"A woman stirs, mixes ingredients in a large cooking pot..","{stirs, mixes}","{woman, ingredients, pot}","{large, cooking}",{woman}
"A child balances, steadies on stilts in a circus act..","{balances, steadies}","{child, stilts, act}",{circus},{child}
"A man tosses, hurls a frisbee to a jumping dog..","{tosses, hurls}","{man, frisbee, dog}",{jumping},{man}
"A woman scrapes, removes ice from a car windshield..","{scrapes, removes}","{woman, ice, windshield}",{car},{woman}
"A child molds, shapes sand into a castle on the beach..","{molds, shapes}","{child, sand, castle, beach}",{},{child}
"A man juggles, tosses colorful balls in a street performance..","{juggles, tosses}","{man, balls, performance}","{colorful, street}",{man}
"A woman applies, spreads sunscreen on her skin at the beach..","{applies, spreads}","{woman, sunscreen, skin, beach}",{},{woman}
"A wizard conjures, summons a glowing orb of magical energy..","{conjures, summons}","{wizard, orb, energy}","{glowing, magical}",{wizard}
"An elf archer nocks, draws an enchanted arrow in a mystical forest..","{nocks, draws}","{elf, archer, arrow, forest}","{enchanted, mystical}",{elf}
"A dragon swoops, dives through clouds in a stormy sky..","{swoops, dives}","{dragon, clouds, sky}",{stormy},{dragon}
"A mermaid glides, swims through a coral reef teeming with fish..","{glides, swims}","{mermaid, reef, fish}","{coral, teeming}",{mermaid}
"A centaur gallops, charges across a moonlit meadow..","{gallops, charges}","{centaur, meadow}",{moonlit},{centaur}
"A fairy sprinkles, scatters magical dust over sleeping flowers..","{sprinkles, scatters}","{fairy, dust, flowers}","{magical, sleeping}",{fairy}
"A goblin tinkers, fiddles with a complex clockwork mechanism..","{tinkers, fiddles}","{goblin, mechanism}","{complex, clockwork}",{goblin}
"A phoenix rises, ascends from ashes in a burst of flame..","{rises, ascends}","{phoenix, ashes, burst, flame}",{},{phoenix}
"A unicorn prances, trots through a shimmering rainbow..","{prances, trots}","{unicorn, rainbow}",{shimmering},{unicorn}
"A troll lumbers, trudges across a rickety wooden bridge..","{lumbers, trudges}","{troll, bridge}","{rickety, wooden}",{troll}
"A witch brews, concocts a bubbling potion in a cauldron..","{brews, concocts}","{witch, potion, cauldron}",{bubbling},{witch}
"A gnome burrows, tunnels into the side of a grassy hill..","{burrows, tunnels}","{gnome, side, hill}",{grassy},{gnome}
"A giant stomps, thunders through a dense, misty forest..","{stomps, thunders}","{giant, forest}","{dense, misty}",{giant}
"A vampire levitates, hovers in the shadows of an ancient castle..","{levitates, hovers}","{vampire, shadows, castle}",{ancient},{vampire}
"A werewolf howls, bays at the full moon on a cloudy night..","{howls, bays}","{werewolf, moon, night}","{full, cloudy}",{werewolf}
"A pixie flits, darts between colorful wildflowers in a meadow..","{flits, darts}","{pixie, wildflowers, meadow}",{colorful},{pixie}
"A cyclops hurls, throws a massive boulder at a fleeing ship..","{hurls, throws}","{cyclops, boulder, ship}","{massive, fleeing}",{cyclops}
"A dwarf mines, excavates precious gems from a glittering cavern..","{mines, excavates}","{dwarf, gems, cavern}","{precious, glittering}",{dwarf}
"A griffin soars, glides on thermal currents over a mountain range..","{soars, glides}","{griffin, currents, range}","{thermal, mountain}",{griffin}
"A banshee wails, shrieks in the ruins of an abandoned castle..","{wails, shrieks}","{banshee, ruins, castle}",{abandoned},{banshee}
"A golem lumbers, stomps through a narrow city alleyway..","{lumbers, stomps}","{golem, alleyway}","{narrow, city}",{golem}
"A siren sings, croons a mesmerizing melody on a rocky shore..","{sings, croons}","{siren, melody, shore}","{mesmerizing, rocky}",{siren}
"A chimera roars, bellows flames from its lion head..","{roars, bellows}","{chimera, flames, head}",{lion},{chimera}
"A kraken surfaces, emerges from the depths of a stormy ocean..","{surfaces, emerges}","{kraken, depths, ocean}",{stormy},{kraken}
"A harpy swoops, dives at unsuspecting prey in a barren wasteland..","{swoops, dives}","{harpy, prey, wasteland}","{unsuspecting, barren}",{harpy}
"A minotaur charges, rushes through a complex labyrinth..","{charges, rushes}","{minotaur, labyrinth}",{complex},{minotaur}
"A pegasus rears, neighs as it takes flight from a mountaintop..","{rears, neighs}","{pegasus, flight, mountaintop}",{},{pegasus}
"A basilisk slithers, creeps through the undergrowth of a dark forest..","{slithers, creeps}","{basilisk, undergrowth, forest}",{dark},{basilisk}
"A sphinx poses, reclines atop an ancient stone pedestal..","{poses, reclines}","{sphinx, pedestal}","{ancient, stone}",{sphinx}
"A satyr plays, pipes a merry tune on a set of pan flutes..","{plays, pipes}","{satyr, tune, flutes}","{merry, pan}",{satyr}
"A hydra hisses, spits venom from its multiple serpentine heads..","{hisses, spits}","{hydra, venom, heads}","{multiple, serpentine}",{hydra}
"A nymph dances, twirls in a moonlit glade by a babbling brook..","{dances, twirls}","{nymph, glade, brook}","{moonlit, babbling}",{nymph}
"A gargoyle perches, crouches on the corner of a gothic cathedral..","{perches, crouches}","{gargoyle, corner, cathedral}",{gothic},{gargoyle}
"A leprechaun hides, conceals a pot of gold at the end of a rainbow..","{hides, conceals}","{leprechaun, pot, gold, rainbow}",{},{leprechaun}
"A yeti trudges, plods through deep snow in a mountain pass..","{trudges, plods}","{yeti, snow, pass}","{deep, mountain}",{yeti}
"A gorgon petrifies, transforms an unwary traveler into stone..","{petrifies, transforms}","{gorgon, traveler, stone}",{unwary},{gorgon}
"A djinn grants, fulfills a wish in a puff of magical smoke..","{grants, fulfills}","{djinn, wish, puff, smoke}",{magical},{djinn}
"A manticore prowls, stalks its prey in a desolate canyon..","{prowls, stalks}","{manticore, prey, canyon}",{desolate},{manticore}
"A sylph glides, floats on gentle breezes through puffy clouds..","{glides, floats}","{sylph, breezes, clouds}","{gentle, puffy}",{sylph}
"An ogre smashes, crushes boulders with its massive club..","{smashes, crushes}","{ogre, boulders, club}",{massive},{ogre}
"A kitsune shapeshifts, transforms into a beautiful woman..","{shapeshifts, transforms}","{kitsune, woman}",{beautiful},{kitsune}
"A brownie tidies, cleans a cozy cottage while the owners sleep..","{tidies, cleans}","{brownie, cottage, owners}","{cozy, sleeping}",{brownie}
"A roc snatches, seizes a elephant in its enormous talons..","{snatches, seizes}","{roc, elephant, talons}",{enormous},{roc}
"A dryad merges, blends with the trunk of an ancient oak tree..","{merges, blends}","{dryad, trunk, tree}","{ancient, oak}",{dryad}
"A necromancer raises, animates skeletons from an old battlefield..","{raises, animates}","{necromancer, skeletons, battlefield}",{old},{necromancer}
"A selkie sheds, removes its seal skin to walk on land..","{sheds, removes}","{selkie, skin, land}",{seal},{selkie}
"A thunderbird summons, calls forth a raging storm with its wings..","{summons, calls forth}","{thunderbird, storm, wings}",{raging},{thunderbird}
"A wraith haunts, lurks in the shadows of a crumbling mausoleum..","{haunts, lurks}","{wraith, shadows, mausoleum}",{crumbling},{wraith}
"A valkyrie descends, swoops from the heavens to a bloody battlefield..","{descends, swoops}","{valkyrie, heavens, battlefield}",{bloody},{valkyrie}
"A cerberus guards, protects the gates of the underworld..","{guards, protects}","{cerberus, gates, underworld}",{},{cerberus}
"A rakshasa schemes, plots in its opulent palace of illusions..","{schemes, plots}","{rakshasa, palace, illusions}",{opulent},{rakshasa}
"A gryphon nests, roosts atop a craggy mountain peak..","{nests, roosts}","{gryphon, peak}","{craggy, mountain}",{gryphon}
"A kelpie lures, entices unwary travelers into a misty loch..","{lures, entices}","{kelpie, travelers, loch}","{unwary, misty}",{kelpie}
"A ghoul scavenges, rummages through an ancient burial ground..","{scavenges, rummages}","{ghoul, ground}","{ancient, burial}",{ghoul}
"A druid shapeshifts, morphs into a majestic stag in a sacred grove..","{shapeshifts, morphs}","{druid, stag, grove}","{majestic, sacred}",{druid}
"A behemoth rises, emerges from the depths of a primordial ocean..","{rises, emerges}","{behemoth, depths, ocean}",{primordial},{behemoth}
"A naga slithers, coils around a golden idol in a hidden temple..","{slithers, coils}","{naga, idol, temple}","{golden, hidden}",{naga}
"A revenant stalks, pursues its killer through a misty graveyard..","{stalks, pursues}","{revenant, killer, graveyard}",{misty},{revenant}
"A tengu perches, roosts on the roof of an ancient Shinto shrine..","{perches, roosts}","{tengu, roof, shrine}","{ancient, Shinto}",{tengu}
"A wendigo prowls, hunts in a snow-covered, moonlit forest..","{prowls, hunts}","{wendigo, forest}","{snow-covered, moonlit}",{wendigo}
"A gnoll scavenges, forages in the aftermath of a great battle..","{scavenges, forages}","{gnoll, aftermath, battle}",{great},{gnoll}
"A doppelganger mimics, impersonates a noble in a royal court..","{mimics, impersonates}","{doppelganger, noble, court}",{royal},{doppelganger}
"A cockatrice petrifies, turns fleeing prey to stone with its gaze..","{petrifies, turns}","{cockatrice, prey, stone, gaze}",{fleeing},{cockatrice}
"A gremlin sabotages, tinkers with complex machinery in an airship..","{sabotages, tinkers}","{gremlin, machinery, airship}",{complex},{gremlin}
"A bandersnatch snatches, seizes its prey with its long neck..","{snatches, seizes}","{bandersnatch, prey, neck}",{long},{bandersnatch}
"A dullahan rides, gallops on a black steed through misty moors..","{rides, gallops}","{dullahan, steed, moors}","{black, misty}",{dullahan}
"A sylph dances, twirls on gentle breezes in a sunlit meadow..","{dances, twirls}","{sylph, breezes, meadow}","{gentle, sunlit}",{sylph}
"A harpy screeches, shrieks as it dive-bombs unsuspecting sailors..","{screeches, shrieks}","{harpy, sailors}",{unsuspecting},{harpy}
"A djinn emerges, materializes from an ornate golden lamp..","{emerges, materializes}","{djinn, lamp}","{ornate, golden}",{djinn}
"A griffin preens, grooms its eagle feathers and lion fur..","{preens, grooms}","{griffin, feathers, fur}","{eagle, lion}",{griffin}
"A pixie sprinkles, scatters magical dust over sleeping children..","{sprinkles, scatters}","{pixie, dust, children}","{magical, sleeping}",{pixie}
"A manticore roars, bellows from its human-like face..","{roars, bellows}","{manticore, face}",{human-like},{manticore}
"A phoenix ignites, combusts in a brilliant burst of flames..","{ignites, combusts}","{phoenix, burst, flames}",{brilliant},{phoenix}
"A kraken tentacle breaches, emerges from the stormy sea surface..","{breaches, emerges}","{kraken, tentacle, surface}","{stormy, sea}",{kraken}
"A minotaur charges, rams its horns against a maze wall..","{charges, rams}","{minotaur, horns, wall}",{maze},{minotaur}
"A chimera breathes, exhales fire from its lion head..","{breathes, exhales}","{chimera, fire, head}",{lion},{chimera}
"A unicorn's horn glows, illuminates a path through a dark forest..","{glows, illuminates}","{unicorn, horn, path, forest}",{dark},{unicorn}
"A basilisk's gaze petrifies, freezes a fleeing adventurer..","{petrifies, freezes}","{basilisk, gaze, adventurer}",{fleeing},{basilisk}
"A hydra regenerates, regrows two heads for each one cut off..","{regenerates, regrows}","{hydra, heads}",{},{hydra}
"A sphinx poses, recites a cryptic riddle to passing travelers..","{poses, recites}","{sphinx, riddle, travelers}","{cryptic, passing}",{sphinx}
"A leprechaun disappears, vanishes at the end of a rainbow..","{disappears, vanishes}","{leprechaun, rainbow}",{},{leprechaun}
"A cyclops hurls, throws boulders at passing ships..","{hurls, throws}","{cyclops, boulders, ships}",{passing},{cyclops}
"A mermaid sings, croons a haunting melody to lure sailors..","{sings, croons}","{mermaid, melody, sailors}",{haunting},{mermaid}
"A golem lumbers, stomps through narrow city streets..","{lumbers, stomps}","{golem, streets}","{narrow, city}",{golem}
"A banshee wails, keens to foretell an impending death..","{wails, keens}","{banshee, death}",{impending},{banshee}
"A dragon hoards, guards its treasure in a mountain cave..","{hoards, guards}","{dragon, treasure, cave}",{mountain},{dragon}
"An elf weaves, crafts magical cloth on an enchanted loom..","{weaves, crafts}","{elf, cloth, loom}","{magical, enchanted}",{elf}
"A dwarf forges, hammers a legendary weapon on an anvil..","{forges, hammers}","{dwarf, weapon, anvil}",{legendary},{dwarf}
"A troll regenerates, heals its wounds under a stone bridge..","{regenerates, heals}","{troll, wounds, bridge}",{stone},{troll}
"A vampire hypnotizes, mesmerizes its victim with a piercing gaze..","{hypnotizes, mesmerizes}","{vampire, victim, gaze}",{piercing},{vampire}
"A chameleon camouflages, blends into the colorful foliage of a rainforest..","{camouflages, blends}","{chameleon, foliage, rainforest}",{colorful},{chameleon}
"An octopus squirts, ejects ink to escape from a predator..","{squirts, ejects}","{octopus, ink, predator}",{},{octopus}
"A beaver gnaws, chews on a tree trunk to build its dam..","{gnaws, chews}","{beaver, trunk, dam}",{},{beaver}
"A peacock displays, fans its vibrant tail feathers to attract a mate..","{displays, fans}","{peacock, feathers, mate}","{vibrant, tail}",{peacock}
"A sloth hangs, dangles from a tree branch in slow motion..","{hangs, dangles}","{sloth, branch}",{slow},{sloth}
"A porcupine bristles, raises its quills in defense against a threat..","{bristles, raises}","{porcupine, quills, threat}",{},{porcupine}
"A hummingbird hovers, suspends in mid-air while sipping nectar..","{hovers, suspends}","{hummingbird, nectar}",{},{hummingbird}
"A kangaroo bounds, hops across the Australian outback..","{bounds, hops}","{kangaroo, outback}",{Australian},{kangaroo}
"An anteater probes, explores an anthill with its long snout..","{probes, explores}","{anteater, anthill, snout}",{long},{anteater}
"A platypus dives, plunges into a freshwater stream..","{dives, plunges}","{platypus, stream}",{freshwater},{platypus}
"A flamingo balances, stands on one leg in a shallow lagoon..","{balances, stands}","{flamingo, leg, lagoon}",{shallow},{flamingo}
"A woodpecker pecks, drills into tree bark searching for insects..","{pecks, drills}","{woodpecker, bark, insects}",{},{woodpecker}
"A squid propels, jets through the water using its siphon..","{propels, jets}","{squid, water, siphon}",{},{squid}
"A pangolin curls, rolls into a defensive ball when threatened..","{curls, rolls}","{pangolin, ball}",{defensive},{pangolin}
"A raccoon rummages, scavenges through a trash can for food..","{rummages, scavenges}","{raccoon, trash can, food}",{},{raccoon}
"A jellyfish pulsates, undulates through the ocean currents..","{pulsates, undulates}","{jellyfish, currents}",{ocean},{jellyfish}
"A cheetah sprints, accelerates to chase its prey across the savanna..","{sprints, accelerates}","{cheetah, prey, savanna}",{},{cheetah}
"An armadillo burrows, digs into the ground with its strong claws..","{burrows, digs}","{armadillo, ground, claws}",{strong},{armadillo}
"A toucan perches, balances on a branch with its colorful beak..","{perches, balances}","{toucan, branch, beak}",{colorful},{toucan}
"A sea turtle glides, swims gracefully through coral reefs..","{glides, swims}","{sea turtle, reefs}",{coral},{sea turtle}
"A meerkat stands, surveys the surroundings for potential threats..","{stands, surveys}","{meerkat, surroundings, threats}",{potential},{meerkat}
"A koala clings, grasps onto a eucalyptus tree while sleeping..","{clings, grasps}","{koala, tree}","{eucalyptus, sleeping}",{koala}
"A narwhal surfaces, breaches the Arctic waters with its tusk..","{surfaces, breaches}","{narwhal, waters, tusk}",{Arctic},{narwhal}
"A camel trudges, plods across a scorching desert landscape..","{trudges, plods}","{camel, landscape}","{scorching, desert}",{camel}
"A lemur leaps, bounds between trees in a Madagascar forest..","{leaps, bounds}","{lemur, trees, forest}",{Madagascar},{lemur}
"An axolotl regenerates, regrows its lost limb in an aquarium..","{regenerates, regrows}","{axolotl, limb, aquarium}",{lost},{axolotl}
"A puffin dives, plunges into the sea to catch fish..","{dives, plunges}","{puffin, sea, fish}",{},{puffin}
"A tapir forages, browses for vegetation in a tropical forest..","{forages, browses}","{tapir, vegetation, forest}",{tropical},{tapir}
"A tardigrade survives, endures extreme conditions in a laboratory..","{survives, endures}","{tardigrade, conditions, laboratory}",{extreme},{tardigrade}
"A secretary bird stomps, tramples on a snake to subdue it..","{stomps, tramples}","{secretary bird, snake}",{},{secretary bird}
"A flying squirrel glides, soars between trees in a night forest..","{glides, soars}","{flying squirrel, trees, forest}",{night},{flying squirrel}
"A leafcutter ant carries, transports a leaf fragment to its colony..","{carries, transports}","{leafcutter ant, fragment, colony}",{},{leafcutter ant}
"A nautilus propels, jets through deep waters using its chambers..","{propels, jets}","{nautilus, waters, chambers}",{deep},{nautilus}
"A mantis shrimp strikes, punches its prey with incredible speed..","{strikes, punches}","{mantis shrimp, prey, speed}",{incredible},{mantis shrimp}
"A kiwi bird probes, searches the forest floor with its long beak..","{probes, searches}","{kiwi bird, floor, beak}","{forest, long}",{kiwi bird}
"A bowerbird collects, gathers blue objects to decorate its bower..","{collects, gathers}","{bowerbird, objects, bower}",{blue},{bowerbird}
"A komodo dragon stalks, pursues its prey on a remote island..","{stalks, pursues}","{komodo dragon, prey, island}",{remote},{komodo dragon}
"A cassowary charges, rushes at an intruder with its powerful legs..","{charges, rushes}","{cassowary, intruder, legs}",{powerful},{cassowary}
"A quokka poses, smiles for tourists on an Australian island..","{poses, smiles}","{quokka, tourists, island}",{Australian},{quokka}
"A proboscis monkey swings, leaps through mangrove trees..","{swings, leaps}","{proboscis monkey, trees}",{mangrove},{proboscis monkey}
"A sea dragon camouflages, blends with seaweed in shallow waters..","{camouflages, blends}","{sea dragon, seaweed, waters}",{shallow},{sea dragon}
"A Tasmanian devil scavenges, forages for carrion in the bush..","{scavenges, forages}","{Tasmanian devil, carrion, bush}",{},{Tasmanian devil}
"A giant isopod scuttles, crawls across the deep ocean floor..","{scuttles, crawls}","{giant isopod, floor}",{deep ocean},{giant isopod}
"A mudskipper hops, skips along the muddy shore at low tide..","{hops, skips}","{mudskipper, shore, tide}","{muddy, low}",{mudskipper}
"A fossa climbs, scales a tree in search of lemur prey..","{climbs, scales}","{fossa, tree, prey}",{lemur},{fossa}
"A sea pig crawls, inches along the abyssal plain scavenging detritus..","{crawls, inches}","{sea pig, plain, detritus}",{abyssal},{sea pig}
"A hoatzin perches, roosts in a tree by an Amazonian river..","{perches, roosts}","{hoatzin, tree, river}",{Amazonian},{hoatzin}
"A glass frog camouflages, blends on a leaf with its transparent skin..","{camouflages, blends}","{glass frog, leaf, skin}",{transparent},{glass frog}
"A gharial snaps, seizes fish with its long, narrow snout..","{snaps, seizes}","{gharial, fish, snout}","{long, narrow}",{gharial}
"A numbat probes, investigates termite mounds with its long tongue..","{probes, investigates}","{numbat, mounds, tongue}","{termite, long}",{numbat}
"A shoebill stork stalks, hunts for lungfish in shallow waters..","{stalks, hunts}","{shoebill stork, lungfish, waters}",{shallow},{shoebill stork}
"A binturong climbs, clambers through the canopy of a rainforest..","{climbs, clambers}","{binturong, canopy, rainforest}",{},{binturong}
"A potoo camouflages, blends against tree bark with its cryptic plumage..","{camouflages, blends}","{potoo, bark, plumage}",{cryptic},{potoo}
"A kakapo waddles, ambles along the forest floor in New Zealand..","{waddles, ambles}","{kakapo, floor}","{forest, New Zealand}",{kakapo}
"A tarsier leaps, bounds between trees using its powerful hind legs..","{leaps, bounds}","{tarsier, trees, legs}","{powerful, hind}",{tarsier}
"A sun bear climbs, scales a tree in search of honey and fruits..","{climbs, scales}","{sun bear, tree, honey, fruits}",{},{sun bear}
"A coconut crab scavenges, forages on a tropical island beach..","{scavenges, forages}","{coconut crab, island, beach}",{tropical},{coconut crab}
"A slow loris grasps, clings to a branch with its strong grip..","{grasps, clings}","{slow loris, branch, grip}",{strong},{slow loris}
"A ribbon eel undulates, sways in the current of a coral reef..","{undulates, sways}","{ribbon eel, current, reef}",{coral},{ribbon eel}
"A pygmy seahorse camouflages, blends with its coral host..","{camouflages, blends}","{pygmy seahorse, host}",{coral},{pygmy seahorse}
"A red-lipped batfish waddles, stumbles across the ocean floor..","{waddles, stumbles}","{red-lipped batfish, floor}",{ocean},{red-lipped batfish}
"A gerenuk stands, balances on its hind legs to reach high branches..","{stands, balances}","{gerenuk, legs, branches}","{hind, high}",{gerenuk}
"A thorny devil sips, absorbs water through its skin in the desert..","{sips, absorbs}","{thorny devil, water, skin, desert}",{},{thorny devil}
"A frigate bird inflates, puffs up its red throat pouch to attract a mate..","{inflates, puffs up}","{frigate bird, pouch, mate}","{red, throat}",{frigate bird}
"A pangolin scales, climbs a tree using its strong claws and tail..","{scales, climbs}","{pangolin, tree, claws, tail}",{strong},{pangolin}
"A leafy seadragon drifts, floats camouflaged among seaweed..","{drifts, floats}","{leafy seadragon, seaweed}",{camouflaged},{leafy seadragon}
"A frill-necked lizard displays, unfurls its colorful neck frill..","{displays, unfurls}","{frill-necked lizard, frill}","{colorful, neck}",{frill-necked lizard}
"A jerboa hops, leaps across desert sands on its long hind legs..","{hops, leaps}","{jerboa, sands, legs}","{desert, long, hind}",{jerboa}
"A hagfish oozes, secretes slime to deter predators in the deep sea..","{oozes, secretes}","{hagfish, slime, predators, sea}",{deep},{hagfish}
"A lyrebird mimics, imitates various sounds in its forest habitat..","{mimics, imitates}","{lyrebird, sounds, habitat}",{forest},{lyrebird}
"A star-nosed mole burrows, tunnels through soil using its unique snout..","{burrows, tunnels}","{star-nosed mole, soil, snout}",{unique},{star-nosed mole}
"A glowworm illuminates, lights up a cave ceiling with bioluminescence..","{illuminates, lights up}","{glowworm, ceiling, bioluminescence}",{cave},{glowworm}
"A basilisk lizard runs, skitters across the surface of water..","{runs, skitters}","{basilisk lizard, surface, water}",{},{basilisk lizard}
"A horseshoe crab scuttles, crawls along the shoreline at night..","{scuttles, crawls}","{horseshoe crab, shoreline}",{night},{horseshoe crab}
"A sugar glider glides, soars between trees in an Australian forest..","{glides, soars}","{sugar glider, trees, forest}",{Australian},{sugar glider}
"A dung beetle rolls, pushes a ball of dung across the savanna..","{rolls, pushes}","{dung beetle, ball, dung, savanna}",{},{dung beetle}
"A nudibranch crawls, glides across a coral reef displaying vibrant colors..","{crawls, glides}","{nudibranch, reef, colors}","{coral, vibrant}",{nudibranch}
"A pistol shrimp snaps, clicks its claw to stun prey with a shockwave..","{snaps, clicks}","{pistol shrimp, claw, prey, shockwave}",{},{pistol shrimp}
"A bombardier beetle sprays, ejects a hot chemical spray for defense..","{sprays, ejects}","{bombardier beetle, spray}","{hot, chemical}",{bombardier beetle}
"A Mexican axolotl regenerates, regrows its limbs in a laboratory tank..","{regenerates, regrows}","{Mexican axolotl, limbs, tank}",{laboratory},{Mexican axolotl}
"A horned lizard squirts, shoots blood from its eyes to deter predators..","{squirts, shoots}","{horned lizard, blood, eyes, predators}",{},{horned lizard}
"A flying fish propels, launches itself out of the water to escape predators..","{propels, launches}","{flying fish, water, predators}",{},{flying fish}
"A blue-footed booby dances, prances to attract a mate on rocky shores..","{dances, prances}","{blue-footed booby, mate, shores}",{rocky},{blue-footed booby}
"A tardigrade survives, endures extreme conditions in outer space..","{survives, endures}","{tardigrade, conditions, space}","{extreme, outer}",{tardigrade}
"A blobfish floats, drifts in the deep sea, conserving energy..","{floats, drifts}","{blobfish, sea, energy}",{deep},{blobfish}
"A mantis shrimp punches, strikes its prey with incredible force..","{punches, strikes}","{mantis shrimp, prey, force}",{incredible},{mantis shrimp}
"A scorpionfish camouflages, blends with coral to ambush prey..","{camouflages, blends}","{scorpionfish, coral, prey}",{},{scorpionfish}
"A leaf-cutter ant carries, transports leaf fragments to its fungus garden..","{carries, transports}","{leaf-cutter ant, fragments, garden}",{fungus},{leaf-cutter ant}
"A mudskipper propels, launches itself onto land using its fins..","{propels, launches}","{mudskipper, land, fins}",{},{mudskipper}
"A peacock mantis shrimp strikes, hammers its prey with incredible speed..","{strikes, hammers}","{peacock mantis shrimp, prey, speed}",{incredible},{peacock mantis shrimp}
"A babirusa sharpens, hones its curved tusks against a tree trunk..","{sharpens, hones}","{babirusa, tusks, trunk}",{curved},{babirusa}
"An electric eel discharges, zaps its prey with a powerful shock..","{discharges, zaps}","{electric eel, prey, shock}",{powerful},{electric eel}
"A pangolin uncoils, unfurls from its defensive ball position..","{uncoils, unfurls}","{pangolin, ball, position}",{defensive},{pangolin}
"A flying snake glides, soars between trees in a rainforest..","{glides, soars}","{flying snake, trees, rainforest}",{},{flying snake}
"A tuatara basks, sunbathes on a rocky outcrop in New Zealand..","{basks, sunbathes}","{tuatara, outcrop}","{rocky, New Zealand}",{tuatara}
"A hagfish oozes, exudes slime to escape a predator's grasp..","{oozes, exudes}","{hagfish, slime, predator, grasp}",{},{hagfish}
"A leafcutter bee snips, cuts circular pieces from leaves for its nest..","{snips, cuts}","{leafcutter bee, pieces, leaves, nest}",{circular},{leafcutter bee}
"A blobfish decompresses, inflates as it's brought to the surface..","{decompresses, inflates}","{blobfish, surface}",{},{blobfish}
"A giant isopod scuttles, skitters across the deep ocean floor..","{scuttles, skitters}","{giant isopod, floor}",{deep ocean},{giant isopod}
"A Portuguese man-of-war drifts, floats on ocean currents with its tentacles trailing..","{drifts, floats}","{Portuguese man-of-war, currents, tentacles}",{ocean},{Portuguese man-of-war}
"A bombardier beetle sprays, ejects a boiling chemical mixture for defense..","{sprays, ejects}","{bombardier beetle, mixture}","{boiling, chemical}",{bombardier beetle}
"A sea butterfly flaps, undulates its wing-like appendages to swim..","{flaps, undulates}","{sea butterfly, appendages}",{wing-like},{sea butterfly}
"A tardigrade dessicates, dehydrates itself to survive extreme conditions..","{dessicates, dehydrates}","{tardigrade, conditions}",{extreme},{tardigrade}
"A glowworm larva illuminates, brightens its silk threads to attract prey..","{illuminates, brightens}","{glowworm larva, threads, prey}",{silk},{glowworm larva}
"A mudskipper props, supports itself on its fins to breathe air..","{props, supports}","{mudskipper, fins, air}",{},{mudskipper}
"A pistol shrimp stuns, disorients its prey with a powerful claw snap..","{stuns, disorients}","{pistol shrimp, prey, claw}",{powerful},{pistol shrimp}
"A golden poison frog secretes, exudes potent toxins from its skin..","{secretes, exudes}","{golden poison frog, toxins, skin}",{potent},{golden poison frog}
"A decorator crab adorns, embellishes its shell with pieces of sponge and algae..","{adorns, embellishes}","{decorator crab, shell, pieces, sponge, algae}",{},{decorator crab}
"A mimic octopus shapeshifts, transforms to resemble various sea creatures..","{shapeshifts, transforms}","{mimic octopus, creatures}",{sea},{mimic octopus}
"A horned lizard puffs, inflates itself to appear larger to predators..","{puffs, inflates}","{horned lizard, predators}",{},{horned lizard}
"A glasswing butterfly displays, showcases its transparent wings in flight..","{displays, showcases}","{glasswing butterfly, wings, flight}",{transparent},{glasswing butterfly}
"A giraffe weevil extends, stretches its long neck to reach leaves..","{extends, stretches}","{giraffe weevil, neck, leaves}",{long},{giraffe weevil}
